original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
manganese gluconate|manganese gluconate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese glycine complex|manganese glycine complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese hydroxychloride|manganese hydroxychloride|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese methionine|manganese methionine|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese methionine complex|manganese methionine complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese methionine hydroxy analogue chelate|manganese methionine hydroxy analogue chelate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese methioninecomplex|manganese methionine complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese oxide|manganese oxide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese polysaccharide complex|manganese polysaccharide complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese polysaccharide complex and copper polysaccharide complex|manganese and copper polysaccharide complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese protein|manganese proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese protein ate|manganese proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese proteinate|manganese proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese proteinate (source of chelated manganese)|manganese proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulfate monohydrate|manganese sulfate monohydrate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulphate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganese sulphate monohydrate|manganese sulfate monohydrate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganesemethionine complex|manganese methionine complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganeseproteinate|manganous oxide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganesesulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganous oxide|manganous oxide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganous proteinate|manganese proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
manganous sulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
mango|mango|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
mannese amino acid chelate|manganese amino acid chelate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
marigold|marigold|special purpose products|herbs & spices|herbs|herbs & spices|herbs
marigold extract|marigold extract|special purpose products|herbs & spices|herbs|herbs & spices|herbs
marigold extract (tagetes erecta l.)|tagetes (aztec marigold) extract|special purpose products|herbs & spices|herbs|herbs & spices|herbs
marigold petal|marigold petal|special purpose products|herbs & spices|herbs|herbs & spices|herbs
marine microalgae|marine microalgae|fats and oils|marine products|algae|marine products|algae
marine microalgae (source of dha & epa)|marine microalgae|fats and oils|marine products|algae|marine products|algae
marine microalgae (source of dha)|marine microalgae|fats and oils|marine products|algae|marine products|algae
marine microalgae oil|marine microalgae|fats and oils|marine products|algae|marine products|algae
meat & bone meal|meat and bone meal|animal products|animal products|general animal products|animal products|general animal products
meat and bone meal|meat and bone meal|animal products|animal products|general animal products|animal products|general animal products
meat and bone meal|meat and bone meal|animal products|animal products|general animal products|animal products|general animal products
meat and bone meal|meat and bone meal|animal products|animal products|general animal products|animal products|general animal products
meat and bone meal (source of calcium)|meat and bone meal|animal products|animal products|general animal products|animal products|general animal products
meat broth|meat broth|animal products|animal products|general animal products|animal products|general animal products
meat by products|meat by-products|animal products|animal products|general animal products|animal products|general animal products
meat by-product|meat by-products|animal products|animal products|general animal products|animal products|general animal products
meat by-products|meat by-products|animal products|animal products|general animal products|animal products|general animal products
meat meal|meat meal|animal products|animal products|general animal products|animal products|general animal products
meat protein isolate|meat protein isolate|animal products|animal products|general animal products|animal products|general animal products
medium-chain triglyceride vegetable oil|medium-chain triglyceride vegetable oil|human food by-products|fats and oils|vegetable oil|fats and oils|vegetable oil
melon|melon|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
menadion sodium bisulfate complex (source of vitamin k activity)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadion sodium bisulfite complex (source of vitamin k activity)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione bisulfite complex|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione bisulfite complex (source of vitamin k activity)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione bisulfite complex (vitamin k)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione nicotinamide bisulfite (source of vitamin k activity)|menadione nicotinamide bisulfite|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfate (source of vitamin k)|menadione sodium bisulfate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfate complex|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfate complex (source of vitamin k activity)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfate complex (source of vitamin k)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfate complex (vitamin k)|menadione sodium bisulfate complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite|menadione sodium bisulfite|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite (source of vitamin k)|menadione sodium bisulfite|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite (vitamin k)|menadione sodium bisulfite|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulﬁte complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulﬁte complex (source of vitamin k activity))|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k activity))|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k))|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k3)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (source of vitamin k3))|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex (vitamin k3)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex source of vitamin k activity|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulfite complex(source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulphite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodium bisulphite complex (source of vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadione sodiumbisulfite complex (source of vitamin k activity)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menadoine sodium bisulfite complex (vitamin k)|menadione sodium bisulfite complex|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
menhaden fish meal|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (a source of fish oil)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (a source of glucosamine and chondroitin sulfate)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (mixed tocopherol preservative)|menhaden fish meal (preserved with mixed tocopherols)|marine products|marine products|fish|marine products|fish
menhaden fish meal (preserved with mixed tocopherols)|menhaden fish meal (preserved with mixed tocopherols)|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of chondroitin sulfate)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of dha-docosahexaenoic acid)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of glucosamine)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of omega 3 fatty acid)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of omega 3 fatty acids)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of omega-3 fatty acids)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish meal (source of taurine)|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden fish oil|menhaden fish oil|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (mixed tocopherols used as a preservative)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (mixed tocopherols used as a preservative)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed natural tocopherols source of vitamin e)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed natural tocopherols)|menhaden fish oil (preserved with mixed natural tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed natural tocopherols-a source of vitamin e)|menhaden fish oil (preserved with mixed natural tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed tocopherol)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed tocopherols)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed tocopherols)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (preserved with mixed tocopherols)|menhaden fish oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil (source of dha)|menhaden fish oil|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fish oil a source of epa|menhaden fish oil|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden fishmeal|menhaden fish meal|marine products|marine products|fish|marine products|fish
menhaden herring meal|menhaden herring meal|marine products|marine products|fish|marine products|fish
menhaden oil (preserved with mixed tocopherols)|menhaden oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhaden oil (preserved with mixed tocopherols)|menhaden oil (preserved with mixed tocopherols)|marine products|fats and oils|fish oil|fats and oils|fish oil
menhadon meal|menhaden fish meal|marine products|marine products|fish|marine products|fish
methionine|dl-methionine|amino acids and related products|amino acids|dl-methionine|amino acids|dl-methionine
methionine supplement|methionine supplement|amino acids and related products|amino acids|dl-methionine|amino acids|dl-methionine
microbial enzyme|microbial enzyme|enzymes|enzymes|enzymes|enzymes|enzymes
miinerals zinc amino acid chelate|zinc amino acid chelate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
milk|milk|milk products|dairy products|milk|dairy products|milk
milk solids|milk solids|milk products|dairy products|milk|dairy products|milk
millet|millet|grain sorghums|grains|sorghum|grains|sorghum
millet pearl grain|millet pearl grain|grain sorghums|grains|sorghum|grains|sorghum
milo|milo|grain sorghums|grains|sorghum|grains|sorghum
milo natural flavor|milo natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
mineral oil|mineral oil|technical additives|fats and oils|mineral oil|fats and oils|mineral oil
mineralpotassium chloride|potassium chloride|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minerals ferrous sulfate|ferrous sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minerals manganese sulfate|manganese sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minerals zinc amino acid complex|zinc amino acid complex|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minérals zinc oxide|zinc oxide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minerals zinc proteinate|zinc proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
mineralszinc sulfate|zinc sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
minnows|minnow|marine products|marine products|fish|marine products|fish
mint|mint|special purpose products|herbs & spices|herbs|herbs & spices|herbs
miscanthus grass|miscanthus grass|unknown|roughage fiber|grass|roughage fiber|grass
mixed tocopherals (a source of vitamin e)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherol (preservative)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols & citric acid (preservatives)|mixed tocopherols & citric acid (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a natural preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a natural source of vitamin e)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a source of vitamin e)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a source of vitamin e)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (a source of vitamin e)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (added to preserve freshness)|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (as preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (for freshness)|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (natural preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (preservative and a form of vitamin e)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (preservative-form of vitamin e)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (to preserve freshness)|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (used as a preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols (used as a preservative)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols added to preserve freshness|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols added to preserve freshness|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols and bha (preservatives)|mixed tocopherols and bha (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols and citric acid (preservatives)|mixed tocopherols and citric acid (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols and citric acid (preservatives)|mixed tocopherols and citric acid (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols and citric acid (preservatives)|mixed tocopherols and citric acid (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols and rosemary extract|mixed tocopherols and rosemary extract|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols for added freshness|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols for freshness|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols for freshness|mixed tocopherols (added to preserve freshness)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols preserved|mixed tocopherols|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mixed tocopherols with rosemary (preservatives)|mixed tocopherols with rosemary (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
mized tocopherols & citric acid (preservatives)|mixed tocopherols and citric acid (preservatives)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
modified corn starch|modified corn starch|maize products|grains|corn|grains|corn
modified food starch|dietary starch|miscellaneous products|additives|artificial additives|additives|artificial additives
modified rice starch|modified rice starch|rice products|grains|rice|grains|rice
modified tapioca starch|tapioca starch|miscellaneous products|roughage fiber|tapioca/cassava products|roughage fiber|tapioca/cassava products
molasses|molasses|molasses and molasses products|additives|natural additives|additives|natural additives
monkﬁsh|monkﬁsh|marine products|marine products|fish|marine products|fish
monkfish|monkfish|marine products|marine products|fish|marine products|fish
mono and dicalcium phosphate|mono and dicalcium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
mono and diglycerides|mono and diglycerides|technical additives|fats and oils|mono and diglycerides|fats and oils|mono and diglycerides
monocalcium phosphate|monocalcium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
monocalcium phsophate|monocalcium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
monodicalcium phosphate|monocalcium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
monoglycerides|monoglycerides|fats and oils|fats and oils|monoglycerides|fats and oils|monoglycerides
monopotassic phosphate|monopotassium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
monosodium phosphate|monosodium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
montmorillonite|montmorillonite|technical additives|additives|natural additives|additives|natural additives
montmorillonite clay|montmorillonite clay|technical additives|additives|natural additives|additives|natural additives
mung bean|mung bean|miscellaneous products|legumes|mung|legumes|mung
muskmelon|muskmellon|unknown|fruits and vegetables|fruits|fruits and vegetables|fruits
mussel|mussel|marine products|marine products|seafood|marine products|other seafood
mussels|mussel|marine products|marine products|seafood|marine products|other seafood
mustard greens|mustard greens|other oilseed products|oilseeds|mustard|oilseeds|mustard
mustard seed powder|mustard seed powder|other oilseed products|oilseeds|mustard|oilseeds|mustard
mutton|mutton|animal products|animal products|general animal products|animal products|general animal products
mutton bone|goat bone|animal products|animal products|goat|animal products|goat
mutton liver|goat liver|animal products|animal products|goat|animal products|goat
mutton lung|goat lung|animal products|animal products|goat|animal products|goat
mutton meal|goat meal|animal products|animal products|goat|animal products|goat
mutton meal|mutton meal|animal products|animal products|goat|animal products|goat
mutton tripe|goat tripe|animal products|animal products|goat|animal products|goat
natual flavor|natual flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural & artificial flavors|natural and artificial flavors|special purpose products|flavors|artificial and natural flavors|flavors|flavors
natural and artificial flavor (source of grilled flavor)|natural and artificial flavors|special purpose products|flavors|artificial and natural flavors|flavors|flavors
natural and artificial flavors|natural and artificial flavors|special purpose products|flavors|artificial and natural flavors|flavors|flavors
natural and artificial roasted turkey flavor|natural and artificial roasted turkey flavor|special purpose products|flavors|artificial and natural flavors|flavors|flavors
natural antioxidant|natural antioxidant|special purpose products|additives|natural additives|additives|natural additives
natural bacon flavor|natural bacon flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural beef flavor|natural beef flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural beef flavor (source of steak flavor)|natural beef flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural buffered vinegar|natural buffered vinegar|miscellaneous products|additives|natural additives|additives|natural additives
natural butter flavor|natural butter flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural chicken and turkey flavor|natural chicken and turkey flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural chicken flavor|natural chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural chicken ﬂavor|natural chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural chicken liver flavor|natural chicken liver flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural cod ﬂavor|natural cod flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural color|natural color|special purpose products|colors|natural colors|colors|natural colors
natural duck flavor|natural duck flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural filet mignon flavor|natural filet mignon flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural fish flavor|natural fish flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural fish flavour|natural fish flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavor|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural ﬂavor|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavor (source of grilled chicken flavor)|natural chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavor (source of prime rib flavor)|natural rib flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavoring|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavors|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural flavour|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural grill flavor|natural grill flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural grilled chicken flavor|natural grilled chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural grilled steak flavor|natural grilled steak flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural hickory smoke chicken flavor|natural hickory smoke chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural hickory smoke flavor|natural hickory smoke flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural hickory smoked chicken flavor|natural hickory smoked chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural lamb flavor|natural lamb flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural lamb flavour|natural lamb flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural liver flavor|natural liver flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural liver flavors|natural liver flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural microorganisms|natural microorganisms|unknown|unknown|unknown|unknown|unknown
natural mixed tocopherols|natural mixed tocopherols|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
natural new york strip flavor|natural new york strip flavor|special purpose products|preservatives|natural preservatives|preservatives|natural preservatives
natural omega blend|natural omega blend|fats and oils|fats and oils|omega fatty acids|fats and oils|omega fatty acids
natural parmesan and butter flavor|natural parmesan and butter flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural pork flavor|natural pork flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural pork tenderloin flavor|natural pork tenderloin flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural porterhouse flavor|natural porterhouse flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural porterhouse steak flavor|natural porterhouse steak flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural poultry flavor|natural poultry flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural prime rib flavor|natural prime rib flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural rabbit flavor|natural rabbit flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural roasted beef flavor|natural roasted beef flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural roasted chicken flavor|natural roasted chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural roasted flavor|natural roasted flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural roasted turkey flavor|natural roasted turkey flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural rotisserie chicken flavor|natural rotisserie chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural salmon flavor|natural salmon flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural sauteed seafood flavor|natural sauteed seafood flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural seared salmon flavor|natural seared salmon flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural smoke flavor|natural smoke flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural smoked bacon flavor|natural smoked bacon flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural steak flavor|natural steak flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural t-bone steak flavor|natural t-bone steak flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural tocopherols|natural tocopherols|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
natural top sirloin flavor|natural top sirloin flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural tuna flavor|natural tuna flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural turkey and chicken flavor|natural turkey and chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural turkey flavor|natural turkey flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural vegetable flavor|natural vegetable flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural vegetable flavoring|natural vegetable flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural vegetable flavors|natural vegetable flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural vegetarian flavor|natural vegetable flavor|special purpose products|flavors|natural flavors|flavors|flavors
