original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
preserved with mixed tocopherols|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with mixed tocopherols|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with mixed tocopherols|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with mixed tocopherols (form of vitamin e)|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with mixed tocopherols and citric acid|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with mixed-tocopherols|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
preserved with natural mixed tocopherols|natural mixed tocopherols (preservative)|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
preservedwith mixed tocopherols|mixed tocopherols (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
pressed cranberries|pressed cranberries|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
primary dried yeast|primary dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
prime rib flavor|prime rib flavor|special purpose products|flavors|natural flavors|flavors|flavors
propionate zinc proteinate|propionate zinc proteinate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
propyl gallate|propyl gallate|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
propylene glycol|propylene glycol|technical additives|additives|artificial additives|additives|artificial additives
protease|protease|enzymes|enzymes|enzymes|enzymes|enzymes
protease (aspergillus oryzae)|protease|enzymes|enzymes|enzymes|enzymes|enzymes
psyilium seed husks|psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
psyllium|psyllium|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
psyllium husk|psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
psyllium husks|psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
psyllium seed husk|psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
psyllium seed husks|psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
pumpkin|pumpkin|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin 24%|pumpkin|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin flakes|pumpkin flakes|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin meal|pumpkin meal|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin powder|pumpkin|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin puree|pumpkin puree|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin seed|pumpkin seed|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkin seeds|pumpkin seed|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkins|pumpkin|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkinseed|pumpkin seed|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pumpkinseeds|pumpkin seed|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
purified water|purified water|unknown|water|water|unknown|unknown
purple potatoes|purple potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
pyrdoxine hydrochloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridixoine hydrochloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxidine hydrochloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine (vitamin b6)|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydro- chloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydroc hloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochlo-ride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydro-chloride|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochloride (b6)|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochloride (source of vitamin b6)|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
pyridoxine hydrochloride (source of vitamin b6)|pyridoxine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
